                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1732,                 3.1898,                 1.2356,                0.78482,                0.14357,                 0.1804,                0.14516,                0.76573,                 1.1245,                 1.0688,             2.7974e-05,             2.7974e-05,             2.7974e-05
                      2,                0.84997,                  1.296,                 1.0658,                0.62101,                0.32373,                0.36046,                0.30185,                0.67417,                0.73306,                0.98914,             5.3204e-05,             5.3204e-05,             5.3204e-05
                      3,                0.75799,                0.99925,                 1.0202,                 0.7593,                0.44295,                0.48535,                0.41464,                0.59337,                0.61407,                0.94339,             7.5661e-05,             7.5661e-05,             7.5661e-05
                      4,                0.71127,                0.87319,                 0.9963,                0.75334,                0.50758,                0.55673,                0.47333,                 0.5897,                0.54597,                0.92691,             7.1526e-05,             7.1526e-05,             7.1526e-05
                      5,                0.67949,                0.78907,                0.98135,                0.83395,                0.55619,                0.63125,                0.53548,                0.56345,                0.49521,                0.91198,             6.7368e-05,             6.7368e-05,             6.7368e-05
                      6,                0.66011,                0.74192,                0.97758,                0.85322,                0.58557,                 0.6831,                0.57872,                0.57929,                0.46109,                0.90577,              6.321e-05,              6.321e-05,              6.321e-05
                      7,                0.63903,                0.69835,                0.96692,                0.84756,                 0.6136,                0.70127,                0.60399,                0.51739,                0.43288,                0.88868,             5.9052e-05,             5.9052e-05,             5.9052e-05
                      8,                0.62062,                0.66223,                 0.9578,                0.82061,                0.65379,                 0.7365,                0.62954,                0.49958,                0.40411,                0.88046,             5.4894e-05,             5.4894e-05,             5.4894e-05
                      9,                0.60861,                0.64083,                0.95625,                0.86482,                0.67287,                0.75851,                0.65146,                 0.5051,                0.39035,                0.88087,             5.0736e-05,             5.0736e-05,             5.0736e-05
                     10,                0.60079,                0.62148,                0.95306,                0.85409,                0.69402,                 0.7695,                0.66147,                0.49733,                0.38275,                0.87659,             4.6578e-05,             4.6578e-05,             4.6578e-05
                     11,                0.52937,                0.47186,                0.91803,                0.90654,                0.69692,                0.80033,                0.68701,                0.49128,                0.36166,                0.87376,              4.242e-05,              4.242e-05,              4.242e-05
                     12,                0.51192,                 0.4449,                0.91036,                0.87651,                0.73273,                0.82838,                0.71305,                0.48323,                0.35022,                0.87084,             3.8262e-05,             3.8262e-05,             3.8262e-05
                     13,                 0.5011,                0.42683,                0.90747,                0.77965,                0.81701,                0.85613,                0.74257,                0.47297,                0.33945,                 0.8679,             3.4104e-05,             3.4104e-05,             3.4104e-05
                     14,                0.49459,                0.41375,                0.90487,                0.78719,                0.82096,                0.85978,                0.74252,                0.47838,                0.32993,                0.86732,             2.9946e-05,             2.9946e-05,             2.9946e-05
                     15,                0.48744,                0.40332,                0.90143,                0.83922,                0.81143,                0.85766,                0.74255,                0.47623,                0.32695,                0.86292,             2.5788e-05,             2.5788e-05,             2.5788e-05
                     16,                0.48158,                0.39331,                0.90009,                0.82526,                0.81277,                0.85839,                0.74672,                0.46542,                0.32409,                0.86257,              2.163e-05,              2.163e-05,              2.163e-05
                     17,                0.47694,                0.38448,                0.89782,                0.86935,                0.78777,                0.86309,                0.74919,                0.46332,                0.31634,                0.86009,             1.7472e-05,             1.7472e-05,             1.7472e-05
                     18,                0.47313,                0.38015,                0.89643,                0.85865,                0.79271,                0.87108,                0.75451,                0.46767,                0.31587,                0.86022,             1.3314e-05,             1.3314e-05,             1.3314e-05
                     19,                 0.4695,                0.37538,                0.89582,                0.81264,                0.83366,                0.86276,                0.74928,                0.46218,                0.31068,                0.85899,              9.156e-06,              9.156e-06,              9.156e-06
                     20,                0.46593,                0.37105,                0.89459,                0.82894,                0.82988,                0.87014,                0.75849,                 0.4574,                0.30909,                0.85773,              4.998e-06,              4.998e-06,              4.998e-06



